post_url,post_text,posted_at,likes,total_comments,pct_tech_comments,pct_engineer_comments,pct_founder_comments,pct_hr_comments,pct_negative,pct_negative_engineer,pct_toxic_burnout,pct_critical_hostile,pct_supportive,risk_level,risk_class,risk_score,risk_reasons,risk_level_full,risk_class_full,risk_score_full,risk_reasons_full,pct_negative_full,pct_negative_engineer_full,pct_toxic_burnout_full,pct_critical_hostile_full,pct_supportive_full
https://www.linkedin.com/posts/google_spam-malware-phishing-emails-it-can-be-activity-7397686203480694784-SVNF,"Spam, malware, phishing emails — it can be difficult to stay safe online. In her role as a Product Manager on the User Protection team in Brazil, Googler Rebeca’s job is to ensure people’s safety when using our products. “My focus is on solving common abuse types in Google products, at scale,” she explains. ""My core work involves partnering with the teams behind Google products like Maps, Blogger, and Messages. I focus on two key areas: driving adoption, to ensure as many products as possible are protected by our safety platform, and expanding coverage, to make sure we can solve for the most common types of abuse they face."" This type of work requires constant strategic adjustment. ""Adaptability is crucial,” Rebeca shares. “The scale at Google means new data, new user trends, and new technologies emerge constantly. Being able to quickly learn and adjust your strategy is essential to keeping up and staying effective."" The power of her team's mission has also fueled her personal growth when it came to her fear of public speaking — giving her the courage to speak at an internal conference. ""Even though I had been working on it during my career, it was at Google that I had a turning point when I realized that the mission of our User Protection work, and the message that came with it, was bigger than my fear."" Rebeca’s advice for those interested in similar roles? ""If you are passionate about building products, Google gives you the opportunity to apply your skills at an unimaginable scale. The work you do here can genuinely impact the daily experience of billions of users."" Explore open roles at Google Brazil → https://goo.gle/49byhGG",2025-11-21 18:23:53,1651,50.0,0.36,0.12,0.12,0.02,0.12,0.05555555555555555,0.0,0.1,0.82,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.08955223880597014,0.045454545454545456,0.0,0.07462686567164178,0.6119402985074627
https://www.linkedin.com/posts/google_as-a-part-of-the-international-accounting-activity-7397405806939496449-Vj2-,"As a part of the International Accounting and Reporting team, Googler Tejal’s diverse experience allows her to manage complex deliverables across the Europe, Middle East and Africa region. “My career path, including my accounting background, has provided me with a set of unique skills that I apply in my current role,” she says. “While I've held various positions, each one has contributed to my knowledge and ability to deliver effectively.” Day-to-day, she manages centralized deliverables for the EMEA region, collaborating with both internal and external stakeholders. Her role involves leading the International Accounting and Reporting deliverables, governance, and escalations across EMEA, driving both project management and continuous process innovation. “Google operates on a fundamentally different and more dynamic level than other organizations I've worked with,” Tejal says. “It is more than just a job; it is a space where ideas are limitless, continuous innovation is the norm, and work satisfaction is high due to the focus on efficiency and challenging the status quo every day. I've found satisfaction in challenging work that involves both innovation and efficiency. My experience lies in bringing new ideas to fruition, optimizing processes, and enhancing overall performance.” Ready to redefine your career path? Explore opportunities at Google → https://goo.gle/3Ebyc8z",2025-11-20 23:49:41,1295,40.0,0.25,0.075,0.3,0.0,0.1,0.0,0.025,0.1,0.775,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.06451612903225806,0.0,0.016129032258064516,0.06451612903225806,0.5
https://www.linkedin.com/posts/google_nano-banana-pro-live-from-mountain-view-activity-7397345632710971393-L0dC,"Join us live from Mountain View for a demo of Nano Banana Pro with Googlers Logan Kilpatrick, Naina Raisinghani, Bea Alessio, Nicole Brichtova, Kat Kampf and more guests. We’ll showcase the latest capabilities in AI Studio, demonstrating how you can master next-gen image generation and editing. Tune in ↓",2025-11-20 19:50:34,863,42.0,0.30952380952380953,0.11904761904761904,0.11904761904761904,0.07142857142857142,0.047619047619047616,0.07692307692307693,0.0,0.023809523809523808,0.7619047619047619,Low,Helpful,0.0,supportive signal,Medium,Harmless,1.0,mixed/neutral,0.020202020202020204,0.02857142857142857,0.0,0.010101010101010102,0.32323232323232326
https://www.linkedin.com/posts/google_vibe-coding-with-gemini-3-live-from-mountain-activity-7396619598629851137-q8MO,"Logan Kilpatrick, Ammaar Reshi, Kat Kampf and Tulsee Doshi other guests are here to show how you can bring any idea to life with Gemini 3 in AI Studio. They'll vibe code apps live to showcase various functionalities and features of AI Studio's Build tab. Tune in now ↓",2025-11-18 19:45:34,757,46.0,0.6521739130434783,0.17391304347826086,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,0.9130434782608695,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,0.42424242424242425
https://www.linkedin.com/posts/google_2025-year-in-search-activity-7403798479220764672-4Wft,"This year, we searched for ways to rediscover, reinvent, and rethink what’s possible. See how people reimagined their worlds in 2025 in our annual #YearInSearch. Explore more top trends from the year → yearinsearch.google",2025-12-08 15:11:53,1209,72.0,0.4305555555555556,0.08333333333333333,0.1388888888888889,0.013888888888888888,0.041666666666666664,0.03225806451612903,0.0,0.041666666666666664,0.9166666666666666,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.03,0.02702702702702703,0.0,0.03,0.66
https://www.linkedin.com/posts/google_introducing-gemini-3-deep-think-mode-activity-7402424085340901376-VaCI,"Gemini 3 can now think even deeper 🧠 Today, we’re rolling out an updated Deep Think mode to Google AI Ultra subscribers in the Gemini app. Now, you can take on your most complex challenges backed by the power of Gemini 3 — our most intelligent AI model. How it works: Gemini 3 Deep Think mode uses iterative rounds of reasoning to explore multiple possibilities at the same time — much like how a human expert brainstorms different solutions. This approach allows it to excel at complex tasks like math and novel problem-solving that challenge even the most advanced state-of-the-art models. How to access Gemini 3 Deep Think mode: Today, we’re rolling out Gemini 3 Deep Think mode to Google AI Ultra subscribers in the Gemini app. Try it out: 1. Go to gemini.google.com 2. Select ""Thinking"" from the model drop-down 3. Select “Deep Think” in the prompt bar 4. Submit your task 5. Gemini will let you know when your response is ready! Learn more about Gemini 3 Deep Think mode → goo.gle/4rEayWC",2025-12-04 20:10:32,803,64.0,0.375,0.109375,0.203125,0.03125,0.125,0.125,0.015625,0.109375,0.875,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.1,0.1,0.0125,0.0875,0.7
https://www.linkedin.com/posts/google_gemini-3-is-now-in-the-gemini-app-that-means-activity-7401285427506192385-jXgA,"Gemini 3 is now in the Gemini app. That means new experiments that make your responses more visual and interactive, plus Gemini Agent, a tool available to Google AI Ultra subscribers in the U.S. that can complete multi-step tasks from start to finish, while keeping you in control. See what’s new with these 3 prompts:",2025-12-01 16:45:55,324,25.0,0.56,0.12,0.12,0.08,0.04,0.0,0.0,0.04,0.88,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.029411764705882353,0.0,0.0,0.029411764705882353,0.6470588235294118
https://www.linkedin.com/posts/brianglaserphd_im-proud-to-share-that-alphabet-inc-is-ugcPost-7402233220861435904-FPlo,"I’m proud to share that Alphabet Inc. is on TIME's Best Companies for Future Leaders 2026 list. This recognition is a testament to every manager and leader who takes the time to coach their teams, every Googler who embraces a growth mindset, and our learning and leadership development teams whose mission it is to make Google the best school anywhere - a place where you can learn about business, leadership, and life in ways you can’t anywhere else. Here’s to keeping the momentum going and continuing to build a culture where everyone has the opportunity to learn, grow, and thrive. https://lnkd.in/emJU9vdE",2025-12-05 16:50:31,733,56.0,0.375,0.08928571428571429,0.4107142857142857,0.07142857142857142,0.03571428571428571,0.047619047619047616,0.03571428571428571,0.03571428571428571,0.9464285714285714,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.02857142857142857,0.037037037037037035,0.02857142857142857,0.02857142857142857,0.7571428571428571
https://www.linkedin.com/posts/google_take-a-peek-inside-our-new-taipei-office-activity-7399500415400124416-TXzb,"Take a peek inside our new Taipei office, our largest AI infrastructure hardware engineering hub outside of the U.S. Learn more → https://goo.gle/49HWPrh",2025-11-26 18:32:55,1627,64.0,0.421875,0.109375,0.140625,0.078125,0.046875,0.07407407407407407,0.0,0.046875,0.859375,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.034482758620689655,0.06451612903225806,0.0,0.034482758620689655,0.632183908045977
https://www.linkedin.com/posts/google_what-does-it-mean-to-be-an-ai-first-company-activity-7399231472903090176-pJU1,"What does it mean to be an “AI-first” company? Last week, CEO Sundar Pichai talked all things AI, Gemini and development strategy with Logan Kilpatrick on the latest episode of our Release Notes podcast → https://goo.gle/482TC4r",2025-11-26 00:44:14,894,51.0,0.49019607843137253,0.13725490196078433,0.09803921568627451,0.0196078431372549,0.058823529411764705,0.0,0.0,0.058823529411764705,0.9019607843137255,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.043478260869565216,0.0,0.0,0.043478260869565216,0.6666666666666666
